announcement_date,sec_code,name,market,sector33,quarter_type,fiscal_year_end,period_end,operating_income,roe_pct,eps
2026-09-14,3565,アセンテック,スタンダード,卸売業,第２四半期,2027-01-31,2026-01-31,2840600000.0,39.59,144.09
2026-09-14,3657,ポールトゥウィンホールディングス,プライム,情報・通信業,第２四半期,2027-01-31,2026-01-31,-238516000.0,-33.4,-98.41
2026-09-14,3665,エニグモ,プライム,情報・通信業,第２四半期,2027-01-31,2026-01-31,46921000.0,2.8000000000000003,8.23
2026-09-14,3955,イムラ,スタンダード,パルプ・紙,第２四半期,2027-01-31,2026-01-31,1137000000.0,5.5,95.6
2026-09-14,4446,Ｌｉｎｋ－Ｕグループ,スタンダード,情報・通信業,本決算,2026-07-31,2025-07-31,326968000.0,4.63,8.05
2026-09-14,4936,アクシージア,スタンダード,化学,本決算,2026-07-31,2025-07-31,513372000.0,4.0,13.74
2026-09-14,7810,クロスフォー,スタンダード,その他製品,本決算,2026-07-31,2025-07-31,55452000.0,1.2,1.3
2026-09-14,8894,ＲＥＶＯＬＵＴＩＯＮ,スタンダード,不動産業,第３四半期,2026-10-31,2025-10-31,-4150834000.0,-176.5,-148.53
2026-09-14,8927,明豊エンタープライズ,スタンダード,不動産業,本決算,2026-07-31,2025-07-31,3373703000.0,21.6,64.21
2026-09-14,9279,ギフトホールディングス,プライム,小売業,第３四半期,2026-10-31,2025-10-31,3367903000.0,23.4,109.34
2026-09-14,9627,アインホールディングス,プライム,小売業,第１四半期,2027-04-30,2026-04-30,29832000000.0,11.5,491.62
