sec_code,name,market,sector33,period_end,scope,price,market_cap,beta,cost_of_equity_pct,interest_bearing_debt,cost_of_debt_after_tax_pct,wacc_pct,fcf0,ev,implied_growth_pct,operating_income,projected_operating_income_10y
3932,アカツキ,プライム（内国株式）,情報・通信業,2026-03-31,連結,3870.0,56191626000.0,0.8846568445668527,8.107941067401116,11654000000.0,0.40243693152565635,6.784348811070655,2101000000.0,33603626000.0,-0.12558491643018255,7444000000.0,7351041138.890989
2760,東京エレクトロン　デバイス,プライム（内国株式）,卸売業,2026-03-31,連結,4005.0,125502682500.0,1.6771466939732775,12.862880163839666,26433000000.0,0.5879014867778912,10.727341585726036,15066000000.0,144313682500.0,-0.19464775346791918,10253000000.0,10055166699.447039
1946,トーエネック,プライム（内国株式）,建設業,2026-03-31,連結,2176.0,210310291200.0,1.07677678438628,9.26066070631768,43617000000.0,2.8165623495426093,8.153760236111513,16106000000.0,207881291200.0,-0.21228710643113602,21421000000.0,20970579385.312557
6651,日東工業,プライム（内国株式）,電気機器,2026-03-31,連結,4405.0,178217490000.0,0.991196492902274,8.747178957413643,24000000000.0,0.9070833333333334,7.816684295562547,12429000000.0,167800490000.0,-0.2411821595159347,15446000000.0,15077487283.436832
4220,リケンテクノス,プライム（内国株式）,化学,2026-03-31,連結,2635.0,135109153335.0,0.7947848719454665,7.568709231672799,11416307000.0,2.2619214777598393,7.15523898531426,8142941000.0,119997845335.0,-0.3993371452109151,11408926000.0,10961425851.243916
3101,東洋紡,プライム（内国株式）,化学,2026-03-31,連結,1641.0,146127768000.0,1.524026290305223,11.94415774183134,242471000000.0,0.8429874088035268,5.017445427036799,16032000000.0,358470768000.0,-0.40158803124765163,27906000000.0,26805365248.91211
3539,ＪＭホールディングス,プライム（内国株式）,小売業,2025-07-31,連結,1484.0,37811578000.0,0.2442750201652691,4.265650120991614,7619000000.0,0.5328783304895656,3.6396402940456505,978000000.0,33034578000.0,-0.40707535383333604,10048000000.0,9646382683.508167
2792,ハニーズホールディングス,プライム（内国株式）,小売業,2025-05-31,連結,1465.0,40873500000.0,0.2315782521071368,4.1894695126428205,0.0,0.0,4.1894695126428205,981898000.0,27517566000.0,-0.4114164187720426,5906119000.0,5667581172.010625
4886,あすか製薬ホールディングス,プライム（内国株式）,医薬品,2026-03-31,連結,2117.0,60891692283.0,0.7194692595042925,7.116815557025755,11434000000.0,1.3591044253979359,6.206576511937395,3601000000.0,62199692283.0,-0.4560107883191,5834000000.0,5573356649.619924
4743,アイティフォー,プライム（内国株式）,情報・通信業,2026-03-31,連結,1687.0,47087375300.0,0.5426476395570994,6.055885837342596,238789000.0,1.0386156816268757,6.030570687870125,2157147000.0,38416697300.0,-0.4935154380382556,3858688000.0,3672429766.1613564
8698,マネックスグループ,プライム（内国株式）,証券、商品先物取引業,2026-03-31,連結,765.0,192510031500.0,0.6981228022766871,6.988736813660123,0.0,0.0,6.988736813660123,9402000000.0,139724031500.0,-0.6366830412481927,,
9508,九州電力,プライム（内国株式）,電気・ガス業,2026-03-31,連結,1968.0,933194112000.0,0.8165638340047547,7.699383004028529,3253193000000.0,0.7415299368958436,2.2925158683682416,57271000000.0,3835205112000.0,-0.6408899179986494,224853000000.0,210850976599.79153
