edinet_code,sec_code,doc_id,filer_name,period_end,submit_date,doc_description
E02350,6266,S100XS15,タツモ株式会社,2025-12-31,2026-03-23,有価証券報告書－第54期(2025/01/01－2025/12/31)
E05692,3252,S100XS0T,地主株式会社,2025-12-31,2026-03-23,有価証券報告書－第26期(2025/01/01－2025/12/31)
E00492,2914,S100XSSA,日本たばこ産業株式会社,2025-12-31,2026-03-23,有価証券報告書－第41期(2025/01/01－2025/12/31)
E02366,7976,S100XRVX,三菱鉛筆株式会社,2025-12-31,2026-03-23,有価証券報告書－第151期(2025/01/01－2025/12/31)
E30649,3299,S100XT1L,株式会社ムゲンエステート,2025-12-31,2026-03-24,有価証券報告書－第36期(2025/01/01－2025/12/31)
E01122,5201,S100XSTU,ＡＧＣ株式会社,2025-12-31,2026-03-24,有価証券報告書－第101期(2025/01/01－2025/12/31)
E02644,8060,S100XS8C,キヤノンマーケティングジャパン株式会社,2025-12-31,2026-03-24,有価証券報告書－第58期(2025/01/01－2025/12/31)
E26086,3277,S100XSVW,株式会社サンセイランディック,2025-12-31,2026-03-24,有価証券報告書－第50期(2025/01/01－2025/12/31)
E00841,4099,S100XSPO,四国化成ホールディングス株式会社,2025-12-31,2026-03-24,有価証券報告書－第106期(2025/01/01－2025/12/31)
E01110,5110,S100XT7A,住友ゴム工業株式会社,2025-12-31,2026-03-24,有価証券報告書－第134期(2025/01/01－2025/12/31)
E22554,7314,S100XT5I,株式会社小田原機器,2025-12-31,2026-03-24,有価証券報告書－第47期(2025/01/01－2025/12/31)
E05293,2311,S100XSPG,株式会社エプコ,2025-12-31,2026-03-24,有価証券報告書－第36期(2025/01/01－2025/12/31)
E00881,4404,S100XSY8,ミヨシ油脂株式会社,2025-12-31,2026-03-24,有価証券報告書－第100期(2025/01/01－2025/12/31)
E30697,4979,S100XSHI,ＯＡＴアグリオ株式会社,2025-12-31,2026-03-24,有価証券報告書－第16期(2025/01/01－2025/12/31)
E36460,4072,S100XSJW,株式会社電算システムホールディングス,2025-12-31,2026-03-24,有価証券報告書－第5期(2025/01/01－2025/12/31)
E01692,6149,S100XSNC,株式会社小田原エンジニアリング,2025-12-31,2026-03-24,有価証券報告書－第47期(2025/01/01－2025/12/31)
E31354,3913,S100XT1W,ＧｒｅｅｎＢｅｅ株式会社,2025-12-31,2026-03-24,有価証券報告書－第19期(2025/01/01－2025/12/31)
E00375,2212,S100XQ5C,山崎製パン株式会社,2025-12-31,2026-03-24,有価証券報告書－第78期(2025/01/01－2025/12/31)
E38118,7115,S100XT1E,株式会社アルファパーチェス,2025-12-31,2026-03-24,有価証券報告書－第16期(2025/01/01－2025/12/31)
E04011,8914,S100XSP5,エリアリンク株式会社,2025-12-31,2026-03-24,有価証券報告書－第31期(2025/01/01－2025/12/31)
E05727,2170,S100XSV5,株式会社リンクアンドモチベーション,2025-12-31,2026-03-24,有価証券報告書－第26期(2025/01/01－2025/12/31)
E31925,1435,S100XSYD,株式会社ｒｏｂｏｔ　ｈｏｍｅ,2025-12-31,2026-03-24,有価証券報告書－第20期(2025/01/01－2025/12/31)
E04783,8179,S100XSL6,ロイヤルホールディングス株式会社,2025-12-31,2026-03-24,有価証券報告書－第77期(2025/01/01－2025/12/31)
E05647,4344,S100XSUV,ソースネクスト株式会社,2025-12-31,2026-03-24,有価証券報告書－第30期(2025/04/01－2025/12/31)
E05592,3040,S100XRPJ,株式会社ソリトンシステムズ,2025-12-31,2026-03-24,有価証券報告書－第48期(2025/01/01－2025/12/31)
E39892,268A,S100XTB1,リガク・ホールディングス株式会社,2025-12-31,2026-03-24,有価証券報告書－第5期(2025/01/01－2025/12/31)
E26675,9419,S100XSUO,株式会社ワイヤレスゲート,2025-12-31,2026-03-24,有価証券報告書－第22期(2025/01/01－2025/12/31)
E05599,2489,S100XSXU,株式会社アドウェイズ,2025-12-31,2026-03-24,有価証券報告書－第26期(2025/01/01－2025/12/31)
E03492,262A,S100XT2Q,株式会社インターメスティック,2025-12-31,2026-03-24,有価証券報告書－第33期(2025/01/01－2025/12/31)
E04224,2384,S100XSXL,ＳＢＳホールディングス株式会社,2025-12-31,2026-03-24,有価証券報告書－第40期(2025/01/01－2025/12/31)
E05407,8929,S100XTDE,株式会社青山財産ネットワークス,2025-12-31,2026-03-24,有価証券報告書－第35期(2025/01/01－2025/12/31)
E00505,2597,S100XTDG,株式会社ユニカフェ,2025-12-31,2026-03-24,有価証券報告書－第54期(2025/01/01－2025/12/31)
E25850,3659,S100XSM4,株式会社ネクソン,2025-12-31,2026-03-24,有価証券報告書－第24期(2025/01/01－2025/12/31)
E22470,6078,S100XT60,株式会社バリューＨＲ,2025-12-31,2026-03-24,有価証券報告書－第25期(2025/01/01－2025/12/31)
E21258,6250,S100XSYR,株式会社やまびこ,2025-12-31,2026-03-24,有価証券報告書－第18期(2025/01/01－2025/12/31)
E03724,8508,S100XSDT,Ｊトラスト株式会社,2025-12-31,2026-03-24,有価証券報告書－第50期(2025/01/01－2025/12/31)
E01505,6278,S100XSU7,ユニオンツール株式会社,2025-12-31,2026-03-24,有価証券報告書－第65期(2025/01/01－2025/12/31)
E00854,4186,S100XT0N,東京応化工業株式会社,2025-12-31,2026-03-24,有価証券報告書－第96期(2025/01/01－2025/12/31)
E38919,5589,S100XTAQ,株式会社オートサーバー,2025-12-31,2026-03-24,有価証券報告書－第11期(2025/01/01－2025/12/31)
E01015,4985,S100XSLS,アース製薬株式会社,2025-12-31,2026-03-24,有価証券報告書－第102期(2025/01/01－2025/12/31)
E36140,9145,S100XT1Y,株式会社ビーイングホールディングス,2025-12-31,2026-03-24,有価証券報告書－第40期(2025/01/01－2025/12/31)
E04902,9622,S100XT9C,株式会社スペース,2025-12-31,2026-03-24,有価証券報告書－第54期(2025/01/01－2025/12/31)
E05020,4712,S100XSVU,株式会社ＫｅｙＨｏｌｄｅｒ,2025-12-31,2026-03-24,有価証券報告書－第59期(2025/01/01－2025/12/31)
E05282,4356,S100XSUL,応用技術株式会社,2025-12-31,2026-03-24,有価証券報告書－第43期(2025/01/01－2025/12/31)
E01551,6383,S100XT4W,株式会社ダイフク,2025-12-31,2026-03-24,有価証券報告書－第110期(2025/01/01－2025/12/31)
E01049,4922,S100XSUW,株式会社コーセーホールディングス,2025-12-31,2026-03-24,有価証券報告書－第84期(2025/01/01－2025/12/31)
E02120,6633,S100XRYC,株式会社ＣＧＳホールディングス,2025-12-31,2026-03-24,有価証券報告書－第19期(2025/01/01－2025/12/31)
E22560,4574,S100XSJ2,大幸薬品株式会社,2025-12-31,2026-03-24,有価証券報告書－第80期(2025/01/01－2025/12/31)
E34142,7033,S100XT2O,株式会社マネジメントソリューションズ,2025-12-31,2026-03-24,有価証券報告書－第21期(2025/01/01－2025/12/31)
E39133,5891,S100XTBZ,株式会社魁力屋,2025-12-31,2026-03-24,有価証券報告書－第23期(2025/01/01－2025/12/31)
E04754,9731,S100XT2K,株式会社白洋舍,2025-12-31,2026-03-24,有価証券報告書－第133期(2025/01/01－2025/12/31)
E40019,261A,S100XTPW,株式会社日水コン,2025-12-31,2026-03-25,有価証券報告書－第68期(2025/01/01－2025/12/31)
E24951,4927,S100XSDL,株式会社ポーラ・オルビスホールディングス,2025-12-31,2026-03-25,有価証券報告書－第20期(2025/01/01－2025/12/31)
E03342,9441,S100XT5G,株式会社ベルパーク,2025-12-31,2026-03-25,有価証券報告書－第33期(2025/01/01－2025/12/31)
E05411,2418,S100XTC0,株式会社ツカダ・グローバルホールディング,2025-12-31,2026-03-25,有価証券報告書－第31期(2025/01/01－2025/12/31)
E01921,6853,S100XSGM,株式会社共和電業,2025-12-31,2026-03-25,有価証券報告書－第79期(2025/01/01－2025/12/31)
E02934,2700,S100XSQ8,木徳神糧株式会社,2025-12-31,2026-03-25,有価証券報告書－第78期(2025/01/01－2025/12/31)
E04954,4641,S100XTGN,株式会社アルプス技研,2025-12-31,2026-03-25,有価証券報告書－第45期(2025/01/01－2025/12/31)
E01459,7841,S100XTH1,株式会社遠藤製作所,2025-12-31,2026-03-25,有価証券報告書－第76期(2025/01/01－2025/12/31)
E00196,1899,S100XT0V,株式会社福田組,2025-12-31,2026-03-25,有価証券報告書－第99期(2025/01/01－2025/12/31)
E36172,4171,S100XTHD,株式会社グローバルインフォメーション,2025-12-31,2026-03-25,有価証券報告書－第31期(2025/01/01－2025/12/31)
E00751,4004,S100XTT8,株式会社レゾナック・ホールディングス,2025-12-31,2026-03-25,有価証券報告書－第117期(2025/01/01－2025/12/31)
E32591,3940,S100XTIP,株式会社ノムラシステムコーポレーション,2025-12-31,2026-03-25,有価証券報告書－第41期(2025/01/01－2025/12/31)
E05326,1724,S100XT97,シンクレイヤ株式会社,2025-12-31,2026-03-25,有価証券報告書－第64期(2025/01/01－2025/12/31)
E01005,5010,S100XTUB,日本精蝋株式会社,2025-12-31,2026-03-25,有価証券報告書－第99期(2025/01/01－2025/12/31)
E01140,5302,S100XT3M,日本カーボン株式会社,2025-12-31,2026-03-25,有価証券報告書－第167期(2025/01/01－2025/12/31)
