sec_code,beta,beta_obs
3496,0.5506545311453103,60
3498,0.9523931977214565,60
3501,0.3280598852911779,60
3539,0.2442750201652691,60
3543,0.012777797340926805,60
3548,0.2552073470973991,60
3561,0.43946755055213543,60
3563,0.48078737042484304,60
3569,1.1080090871801331,60
3580,0.553766293440491,60
3591,0.46100336520880786,60
3608,0.6666758440606493,60
3612,0.7218761186729822,60
3626,-0.3713332840581806,60
3632,-0.2315015362649863,60
3635,0.3474350497610144,60
3636,0.7008340917456076,60
3649,1.075108097599535,60
3656,0.4385909481348677,60
3657,0.8665027409175938,60
3659,0.357047963423151,60
3660,1.1667286335481868,60
3661,-0.24897502530672216,60
3662,0.850683071067498,60
3663,0.7403601150509146,60
3665,0.9837414182851301,60
3668,0.5265446073897353,60
3673,0.1382451058064579,60
3676,0.3691980061979018,60
3678,1.0534292247896606,60
3679,0.8844715468055437,60
3681,,2
3687,2.8988765725208316,60
368A,,14
3694,1.4172327233981876,60
3696,1.2378482125855865,60
3697,0.5405515207793549,60
3708,0.4107304173098274,60
3741,1.292217914043675,60
3762,0.29287130147476337,60
3763,0.3315470683474901,60
3765,-0.12712909026648134,60
3769,1.0827794894450185,60
3771,0.731044674377117,60
3774,0.07084260384892258,60
3778,2.946829125050872,60
3788,0.7359084047002385,60
3817,0.43246902618910443,60
3834,0.4255265295219075,60
3835,0.84930882263366,60
3836,0.1277242396829696,60
3837,0.9070766227928373,60
3843,0.8201997908288778,60
3844,0.6696258403664814,60
3853,1.9417533948077514,60
3854,0.6480468583073905,60
3861,0.30876192455773477,60
3863,0.09411966169136889,60
3864,1.1586333746570672,60
3865,0.2784282821094291,60
3877,0.9204845975557046,60
3880,0.5860376598121778,60
3901,0.7969325009880737,60
3903,-0.8560223619170382,60
3915,0.7481535504377331,60
3916,0.5144975398328766,60
3921,1.1134528270397737,60
3922,0.9596287755975835,60
3923,1.3969044867992992,60
3925,0.9717950950994804,60
3932,0.8846568445668527,60
3939,1.0335958115868102,60
3941,0.8706241898349967,60
3946,0.8885349401310271,60
3950,0.5272363741042815,60
3962,0.13306939649347935,60
3963,0.32280467670208735,60
3964,1.1779911385420925,60
3968,1.7008700405543917,60
3983,0.7342749223089685,60
3984,1.2081484119141161,60
3992,1.2380262390175383,60
3993,1.8853491317980227,60
3994,1.2151313070016811,60
4004,2.2450062824851336,60
4005,0.8964616037549463,60
4008,1.1620007549830436,60
4021,1.3195754116051177,60
4022,1.7778266297638976,60
4023,0.7816567057382258,60
4025,0.9046537282109909,60
4027,1.0955165753287945,60
4028,1.71814093040759,60
4041,0.7097703810121747,60
4042,0.9981482857886357,60
4043,0.9441389187070606,60
4044,0.8149374128960339,60
4045,0.7656601806906674,60
4046,1.163527263092026,60
4047,2.2120022180545833,60
4051,1.9242484823541635,60
4053,0.6247286608567272,60
4061,0.7786174561824376,60
4062,3.2666438485097347,60
4063,1.2811109381257575,60
4064,1.0957238696956961,60
4071,1.0890873833904062,60
4072,0.783533889822575,60
4078,1.2291147785540457,60
4082,2.3105283354914588,60
4088,0.5543032498126954,60
4091,1.3672875697921723,60
4092,1.5630528946752356,60
4095,0.7475154331895023,60
4097,0.5891413158747779,60
4099,1.3428985392115487,60
409A,,11
4109,1.4215131487855055,60
4112,1.1544319726679086,60
4114,0.5559059171045462,60
4116,1.1272845392603312,60
4118,1.029118827310821,60
4151,0.8171590986031596,60
417A,0.12690488591866977,60
4180,0.7466955830474596,60
4182,1.752580592503124,60
4183,1.3343570558855762,60
4186,1.965520321827817,60
4187,2.123491763614442,60
4188,1.2919378415216944,60
4189,0.5653968470682059,60
4194,0.3296075994180939,60
4202,1.0384944125733977,60
4203,1.7093246766275547,60
4204,0.6200374790527723,60
4205,0.9871844671217772,60
4206,0.5253110276288135,60
4208,0.9864167857740644,60
4212,0.6525148152382197,60
4216,0.8656925182995852,60
4218,0.1883129471378425,60
4220,0.7947848719454665,60
4221,0.6715282696440935,60
4228,1.2879812389183327,60
4229,1.010929421812394,60
4246,1.4254195455106684,60
4249,0.7816952674423476,60
4251,1.1110388181833448,60
4272,0.8050081242922911,60
4275,1.3658065515151434,60
4290,0.2908753228414794,60
429A,,10
4301,0.6421268273895715,60
4307,0.35769336630552956,60
4310,1.0300307729247673,60
4318,0.6495501837526905,60
4323,0.603423527361951,60
4324,0.7387363473345312,60
4326,0.6394362786451936,60
4331,0.27390015580687216,60
4337,0.2716282362872312,60
4343,0.2192738286268016,60
4344,0.4358175746805907,60
4345,0.5005228014666608,60
4362,0.8530072255637875,60
4368,1.7823021152370282,60
4369,2.244067051986537,60
4373,1.1906234517379732,59
4385,0.9127883645609925,60
4390,0.9278995063302956,60
4392,3.4213999450465025,60
4396,0.8839951995767245,60
4401,1.3781338798628806,60
4403,0.39940173428016834,60
4410,0.8849819607678895,60
4413,0.645903836628193,57
4432,0.556234876849814,60
4433,0.6226393533122049,60
4443,1.5075022038113408,60
4446,1.7620529170804398,60
4452,0.36511222384802794,60
4461,2.4874191637969436,60
4462,1.1660669485730206,60
4471,0.9329935124305488,60
4480,1.2340847478500148,60
4481,0.32866584740229304,60
4483,1.478997001310611,60
4502,0.3314899311529432,60
4503,0.5929757698511635,60
4506,0.15526341765615714,60
4507,0.47887041276159503,60
4516,-0.18311959500592195,60
4519,0.7422204771551777,60
4521,0.21281970055631258,60
4523,0.20696279058799444,60
4526,0.2821345679667751,60
4527,0.1628595723750359,60
4528,0.6398093710401667,60
4534,0.3370221885431751,60
4536,0.480121390244098,60
4538,0.5710739776207252,60
4540,0.3479112323310739,60
4543,1.0628331066105836,60
4544,0.2444789039943033,60
4547,0.20915595387895486,60
4548,0.5361246017722208,60
4549,0.8494302214494852,60
4552,0.39791653332080956,60
4553,0.7233224438859402,60
4554,0.7799593347125724,60
4559,0.23781789230059483,60
4565,0.7756399550126171,60
4568,0.9028729167341331,60
4569,0.16263230509044632,60
4574,0.9132388645971664,60
4577,0.6478251509163764,60
4578,0.7860923404511277,60
4587,0.3656155521437905,60
4611,0.8442480872635566,60
4612,0.8070962063926699,60
4613,0.7602901050068953,60
4617,1.2509790032249761,60
4626,0.9432298196907966,60
4631,1.1916336460869072,60
4633,0.9756242918873351,60
4634,0.7062616417193741,60
4641,0.37208520520432503,60
4658,0.9041519168622819,60
4661,0.6785897728302094,60
4662,0.6165217617552062,60
4665,0.028897035838762925,60
4666,0.509290429032866,60
4668,0.10613254184095929,60
4674,1.0710404177209043,60
4676,-0.022493622501755513,60
4680,1.1104451048082724,60
4681,0.4215106646557224,60
4684,0.2994331930103853,60
4686,0.5921727488820001,60
4687,0.8718244343746018,60
4689,0.09598733482232706,60
4694,0.39244117513754884,60
4704,0.09107524199684422,60
4709,0.4063632849683727,60
4714,-0.12766276134348575,60
4718,0.25133827411439985,60
4719,0.6491086875285447,60
471A,,8
4722,0.21287329847226244,60
4725,0.36878465763534024,60
4732,0.6281830215721871,60
4733,0.43320541636117904,60
4743,0.5426476395570994,60
4751,0.8505173730118412,60
4755,0.5883461352099426,60
4763,0.26589933843815733,60
4765,0.5983480883321904,60
4768,0.5282061085163672,60
4776,0.6202257409693697,60
4784,-0.2245479752236251,60
